Ordre;Discipline;Nom de la chaine YouTube;URL de la chaine YouTube;Mots-clés;Description (par le/la vidéaste);Description (par l'auteure du rapport)
43.0;Histoire;Confessions d'Histoire;https://www.youtube.com/channel/UCzj9-ZfpJ74vYv1RZzAWTVg;Histoire-Antiquité-Moyen-Age-reconstitution-humour;« Confessions d'Histoire, c'est l'Histoire racontée par ceux qui l'ont vécue !»;
39.0;Histoire;Ascl&pios;https://www.youtube.com/channel/UCDqEttzOpPbDoeC05HRPPDQ;Médecine-Histoire-Anecdotes-Maladies-Traitements-Médicaments;« La Médecine à l'ancienne, genre... Vraiment à l'ancienne.»;
46.0;Histoire;Passé Sauvage;https://www.youtube.com/channel/UCLhOJJbPciPdocXTaAk2SdA;Archéologie-Anthropologie-Histoire;« Tu aimes Indiana Jones ? Tu vas être déçu-e alors...»;
56.0;Géographie et géopolitique;MisterGeopolitix;https://www.youtube.com/channel/UCX9lsdsTKfTi1eqoyL-RS-Q;Géopolitique;« Salut les aventuriers!»;
58.0;Géographie et géopolitique;Terra Incognita;https://www.youtube.com/channel/UCd_ho3fwV39cuki6hKUSwZg;;« Bienvenue en Terra Incognita, la chaîne de vulgarisation de géographie ! Parce que la géographie ce n'est pas que savoir placer des pays sur une carte !»;
276.0;Audio-visuel, cinéma et jeu vidéo;Sweetberry (Symbolik);https://www.youtube.com/channel/UCO2NDv2Q76ur2Muue6WbCWQ;Symbole-topoi-figures du Cinéma;« Bonjour ! Je suis une cinéphile amoureuse des petites choses que l'on ne remarque pas forcement tout de suite. J'adore décrypter les films, les rôles des personnages, les scénarios ou encore les symboliques utilisées. J'aime aussi les gifs de chats.»;
267.0;Audio-visuel, cinéma et jeu vidéo;Les Thaumatropes;https://www.youtube.com/channel/UCGpmajWNv0fpY7q0MiPtVSA;Cinéma-cinéphile-analyse de plan;« Il existe déjà plusieurs chaines qui s'intéressent au cinéma, difficile donc que faire la différence. Nos émissions sont généralement assez approfondies, basée sur l'analyse, plutôt destinées aux cinéphiles.»;
268.0;Audio-visuel, cinéma et jeu vidéo;Licarion Rock;https://www.youtube.com/channel/UCvepqhNoU72y0Q8JvNDOmng;Films grand public-Société-représentativité des minorités;« Critiques de films, séries, dessins animés, et à peu près tout ce qui se regarde et s'entend en même temps. (cette définition n'inclut pas Michel Drucker) »;
261.0;Audio-visuel, cinéma et jeu vidéo;Le Ciné-Club de M. Bobine;https://www.youtube.com/channel/UCMAOGbM65D7VzbVTmpKeKgQ;Conception de film-réception des films-avenirs des films-classiques-grands réalisateurs et réalisatrices;« Le ciné-club de M. Bobine est une émission sur le cinéma, réalisée entièrement en animation.»;
259.0;Audio-visuel, cinéma et jeu vidéo;Game Spectrum;https://www.youtube.com/user/XxIxostxX;Jeux vidéo-gameplay-philosophie du jeu vidéo-Game Studies;« Game Spectrum est une série mensuelle de vidéos d'éducation populaire et de popularisation autour des jeux. Ou en tout cas ça essaye de l'être. »;
253.0;Audio-visuel, cinéma et jeu vidéo;Détective Geeleek;https://www.youtube.com/channel/UCWQu_FwZKlyhLTBr81BZ2Kg;Films-séries télé et plein d'autres trucs;« Je mène des enquêtes pour vous ou des clients sur certains aspects récurrents du Cinéma, des Séries, et des Internets.»;
265.0;Audio-visuel, cinéma et jeu vidéo;Les relous du garage;https://www.youtube.com/channel/UC-liFKW7eNY_nZ5T7yYxa5g;Films grand public-comparaison entre films;« Bienvenue sur la chaine des relous du garage ! On y parle de cinéma, tous les 4, et... Bah c'est déjà pas mal. »;
249.0;Audio-visuel, cinéma et jeu vidéo;Benjamin Cerbai;https://www.youtube.com/user/B3nc3r;Animation-dessin;« Sur cette chaîne découvrez des vidéos de conseils et de motivation pour vous aider à créer vos images et raconter vos histoires.»;
275.0;Audio-visuel, cinéma et jeu vidéo;Simon sees;https://www.youtube.com/channel/UCN2fQteC9VUUK6JmjVGr49g;Analyse de plan-théorie du Cinéma;;Chroniques de film et série sur les clichés au cinéma.
262.0;Audio-visuel, cinéma et jeu vidéo;Le Clap;https://www.youtube.com/channel/UC0JoDo2A6C8iKjcvaLO-Z3w;Films grand public-comparaison de film / remake;« Salut à toi inconnu !»;
96.0;Philosophie et esprit critique;Parle-moi de philo;https://www.youtube.com/channel/UCLVy1G4ns5D4qPttvE4Cmcg;Philosophie générale-baccalauréat;« Parle-moi de Philo, c'est une envie de partager ma passion (oui, le mot est lâché) pour la philosophie. C'est un besoin de montrer une autre facette de la philo : ce n'est pas juste une discipline qui sert à se torturer le cerveau. C'est une merveilleuse façon d'appréhender le monde, l'actualité, les autres, et puis aussi une façon de s'aider au quotidien face à ses doutes et ses interrogations. Bref, on va beaucoup s'amuser. Si si je vous assure. »;
104.0;Économie;Le Réveilleur;https://www.youtube.com/channel/UC1EacOJoqsKaYxaDomTCTEQ;Environnement-pollution-réchauffement climatique-économie;« Les connaissances que j'ai accumulées m'ont convaincu que les impacts environnementaux vont considérablement changer la façon dont nos sociétés se pensent et s'organisent.»;
107.0;Mathématiques;Chat Sceptique;https://www.youtube.com/channel/UCOuIgj0CYCXCvjWywjDbauw;Esprit critique-scepticisme-mathématiques-statistiques;« Moi, c'est Nathan. Je suis né et je vis dans la capitale belge et je trouve que les chats sont les plus adorables créatures au monde ❤️»;
102.0;Philosophie et esprit critique;Un monde riant;https://www.youtube.com/user/TheBigpeha;Zététique et journalisme-esprit critique appliqué à l’actualité;« Je repasse derrière les approximations scientifiques de la presse grand public. Et y'a du boulot... »;
113.0;Mathématiques;Math un peu ça;https://www.youtube.com/channel/UCGzrP5k8VwAPqs1F5Dr8khA;Mathématiques-informatique-probabilités-statistiques-théorie des jeux-Histoire;« De la vulgarisation orientée vers les mathématiques appliquées et l'informatique.»;
98.0;Philosophie et esprit critique;Politikon;https://www.youtube.com/channel/UC0HxyEc_ojRJ1oJXS5K6oaA;Philosophie politique-questions sociales;« Politikon est une chaîne qui présente des théories sociales et politiques en philosophie et sciences humaines. »;
93.0;Philosophie et esprit critique;Monsieur Phi;https://www.youtube.com/channel/UCqA8H22FwgBVcF3GJpp0MQw;Philosophie;« Prof de philo le jour, YouTuber la nuit. Sauf que je me suis mis en disponibilité. Donc YouTuber le jour aussi.»;
99.0;Philosophie et esprit critique;Sciencia Huasca;https://www.youtube.com/channel/UCNMns3zbytLPooWwNmMh9_w/featured;Philosophie des Sciences-Physique-Sciences Cognitives;« Sciencia Huasca – Relier nos hémisphères»;
97.0;Philosophie et esprit critique;Penseur sauvage;https://www.youtube.com/channel/UCPkoA795xDha5eAUFjISlwA;Philosophie du vivant-animaux-un peu de politique;« Philosophie, politique, animaux et vannes grasses. »;
